word,nnn
the,164315
and,122615
i,87837
a,75592
is,69745
to,58878
was,53710
it,45973
of,45171
in,34582
for,34453
not,33699
we,30208
this,28432
with,28377
you,27735
have,26388
my,26049
food,23290
that,21370
great,21320
they,20965
had,20358
on,19830
place,19594
but,19399
are,18794
so,17413
good,16450
were,15966
very,13958
as,12829
here,12694
service,12670
at,12038
all,11584
be,11212
our,10618
there,10337
best,10310
their,10007
notthe,9717
if,9460
out,9339
delicious,9165
time,9092
just,8962
one,8824
love,8507
will,8481
from,8475
back,8466
amazing,8287
am,8035
like,8006
also,7914
notto,7836
go,7532
would,7515
which,7472
really,7427
do,7280
get,7183
me,7149
always,7123
can,7088
restaurant,6594
friendly,6417
when,6350
an,6289
well,6288
some,6259
nota,6229
or,6228
chicken,6212
definitely,6138
your,6019
try,5969
up,5870
about,5849
been,5825
nice,5714
menu,5693
fresh,5648
staff,5604
us,5536
by,5530
more,5214
ordered,5208
has,5125
what,5108
did,4927
got,4752
pizza,4709
everything,4668
only,4625
too,4532
first,4457
he,4454
order,4395
little,4348
notand,4295
notit,4291
ever,4274
made,4255
awesome,4234
even,4229
excellent,4183
came,4129
vegas,4046
favorite,4015
cheese,3983
come,3960
sauce,3913
recommend,3875
every,3821
could,3798
other,3767
lunch,3653
salad,3653
no,3643
dinner,3641
eat,3627
because,3614
make,3608
noti,3577
never,3565
notof,3548
went,3532
meal,3531
experience,3471
bar,3464
than,3443
re,3436
night,3391
ca,3367
perfect,3335
them,3242
after,3235
right,3208
atmosphere,3127
she,3096
new,3048
people,3026
again,3007
sushi,3006
worth,2935
both,2933
notin,2862
super,2797
two,2787
notfor,2769
happy,2763
much,2761
notis,2699
tried,2689
over,2686
burger,2672
ll,2669
how,2658
times,2651
way,2643
off,2634
sure,2628
day,2605
fries,2600
nothave,2596
most,2586
next,2577
who,2571
fantastic,2565
say,2564
now,2546
loved,2541
going,2539
side,2525
breakfast,2522
pretty,2522
table,2506
hot,2496
server,2482
down,2481
notthat,2474
tasty,2458
then,2433
fried,2415
wait,2397
better,2391
few,2389
meat,2386
rice,2369
small,2365
beef,2352
quality,2344
around,2342
sandwich,2341
area,2332
drinks,2329
family,2318
sweet,2313
top,2312
many,2311
want,2297
highly,2292
steak,2284
bread,2245
must,2218
spot,2215
while,2210
notthis,2205
notyou,2197
dishes,2173
notbut,2173
take,2172
still,2166
prices,2158
price,2151
pork,2147
bit,2140
since,2139
wonderful,2123
friends,2101
spicy,2091
location,2077
notbe,2051
dish,2046
special,2044
last,2037
home,2030
taste,2030
think,2029
visit,2017
different,2015
soup,2009
know,1983
its,1980
notwas,1949
dessert,1948
beer,1946
absolutely,1937
before,1935
town,1930
flavor,1923
coming,1919
places,1907
cooked,1900
find,1897
noton,1891
see,1870
huge,1864
coffee,1861
big,1847
being,1845
wine,1842
fish,1831
something,1825
lot,1812
looking,1796
each,1794
full,1780
everyone,1776
thing,1776
notwith,1767
his,1764
husband,1742
fast,1740
give,1736
shrimp,1726
perfectly,1724
any,1715
clean,1713
drink,1698
though,1695
selection,1691
where,1688
notlike,1687
attentive,1670
friend,1670
enjoyed,1661
notgo,1658
tacos,1641
notwait,1640
long,1636
